primaryKey,genre,popularity,year,revenue,runtime,vote_average,vote_count
Minions,Family,875.581305,15,1156730962,91,6.4,4571
Interstellar,Adventure,724.247784,14,675120017,169,8.1,10867
Deadpool,Action,514.569956,16,783112979,108,7.4,10995
Guardians of the Galaxy,Action,481.098624,14,773328629,121,7.9,9742
Mad Max: Fury Road,Action,434.278564,15,378858340,120,7.2,9427
Jurassic World,Action,418.708552,15,1513528810,124,6.5,8662
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,271.972889,3,655011224,143,7.5,6985
Dawn of the Planet of the Apes,Science Fiction,243.791743,14,710644566,130,7.3,4410
The Hunger Games: Mockingjay - Part 1,Science Fiction,206.227151,14,752100229,123,6.6,5584
Big Hero 6,Adventure,203.73459,14,652105443,102,7.8,6135
Terminator Genisys,Science Fiction,202.042635,15,440603537,126,5.8,3631
Captain America: Civil War,Adventure,198.372395,16,1153304495,147,7.1,7241
Whiplash,Drama,192.528841,14,13092000,105,8.3,4254
The Dark Knight,Drama,187.322927,8,1004558444,152,8.2,12002
The Martian,Drama,167.93287,15,630161890,141,7.6,7268
Inception,Action,167.58371,10,825532764,148,8.1,13752
Frozen,Animation,165.125366,13,1274219009,102,7.3,5295
Batman v Superman: Dawn of Justice,Action,155.790452,16,873260194,151,5.7,7004
Avatar,Action,150.437577,9,2787965087,162,7.2,11800
Fight Club,Drama,146.757391,99,100853753,139,8.3,9413
Pirates of the Caribbean: Dead Man's Chest,Adventure,145.847379,6,1065659812,151,7,5246
The Imitation Game,History,145.364591,14,233555708,113,8,5723
The Avengers,Science Fiction,144.448633,12,1519557910,143,7.4,11776
The Godfather,Drama,143.659698,72,245066411,175,8.4,5893
Teenage Mutant Ninja Turtles,Science Fiction,143.350376,14,477200000,101,5.8,2636
Gone Girl,Mystery,143.041543,14,369330363,145,7.9,5862
Pixels,Action,140.849495,15,243637091,105,5.6,2513
Fury,War,139.575085,14,211817906,135,7.4,3946
X-Men: Apocalypse,Science Fiction,139.272042,16,543934787,144,6.4,4721
Pirates of the Caribbean: At World's End,Adventure,139.082615,7,961000000,169,6.9,4500
Rise of the Planet of the Apes,Thriller,138.433168,11,482860185,105,7,4347
Forrest Gump,Comedy,138.133331,94,677945399,142,8.2,7927
The Lord of the Rings: The Fellowship of the Ring,Adventure,138.049577,1,871368364,178,8,8705
Despicable Me 2,Animation,136.886704,13,970761885,98,7,4637
The Shawshank Redemption,Drama,136.747729,94,28341469,142,8.5,8205
Pirates of the Caribbean: On Stranger Tides,Adventure,135.413856,11,1045713802,136,6.4,4948
Avengers: Age of Ultron,Action,134.279229,15,1405403694,141,7.3,6767
Harry Potter and the Chamber of Secrets,Adventure,132.397737,2,876688482,161,7.4,5815
The Maze Runner,Action,131.815575,14,348319861,113,7,5371
Tomorrowland,Adventure,130.311355,15,209154322,130,6.2,2846
Inside Out,Drama,128.655964,15,857611174,94,8,6560
One Flew Over the Cuckoo's Nest,Drama,127.525581,75,108981275,133,8.2,2919
The Hunger Games: Mockingjay - Part 2,Action,127.284427,15,653428261,137,6.6,3984
Twilight,Adventure,127.084938,8,392616625,122,5.8,3561
Star Wars,Adventure,126.393695,77,775398007,121,8.1,6624
Brave,Animation,125.114374,12,538983207,93,6.7,4641
The Lord of the Rings: The Return of the King,Adventure,123.630332,3,1118888979,201,8.1,8064
Pulp Fiction,Thriller,121.463076,94,213928762,154,8.3,8428
The Hobbit: The Battle of the Five Armies,Action,120.965743,14,956019788,144,7.1,4760
Iron Man,Action,120.725053,8,585174222,126,7.4,8776
Ant-Man,Science Fiction,120.09361,15,519311965,117,7,5880
Spirited Away,Fantasy,118.968562,1,274925095,125,8.3,3840
X-Men: Days of Future Past,Action,118.078691,14,747862775,131,7.5,6032
Transformers: Age of Extinction,Science Fiction,116.840296,14,1091405097,165,5.8,3095
Chappie,Crime,116.700319,15,104399548,120,6.6,3062
Spider-Man 3,Fantasy,115.699814,7,890871626,139,5.9,3576
Night at the Museum: Secret of the Tomb,Adventure,115.597753,14,349424282,97,6.1,1851
Lucy,Action,115.241998,14,126546825,89,6.3,5878
Batman Begins,Action,115.040024,5,374218673,140,7.5,7359
